disease,medicine,dosage,side_effects
Flu,Paracetamol,500mg,"Nausea, vomiting, liver issues on overdose"
Throat Infection,Amoxicillin,250mg,"Nausea, diarrhea, allergic reactions"
Heart Problem,Aspirin,75mg,"Bleeding, stomach upset"
Anemia,Iron Supplement,100mg,"Constipation, nausea"
Allergy,Cetirizine,10mg,"Drowsiness, dry mouth"
Food Poisoning,ORS Sachet,1 per 1L water,"None"
Acidity,Ranitidine,150mg,"Headache, constipation"
Common Cold,Paracetamol,500mg,"Nausea, vomiting, liver issues on overdose"
Muscle Strain,Ibuprofen,400mg,"Stomach pain, dizziness"
Arthritis,Ibuprofen,400mg,"Stomach pain, dizziness"
Asthma,Inhaler (Salbutamol),2 puffs,"Tremors, palpitations"
Urinary Tract Infection,Nitrofurantoin,100mg,"Nausea, headache"
Tuberculosis,Rifampicin,600mg,"Liver toxicity, flu-like symptoms"
Diabetes,Metformin,500mg,"Nausea, diarrhea"
Hypertension,Amlodipine,5mg,"Swelling of ankles, dizziness"
Depression,Sertraline,50mg,"Insomnia, nausea"
Malaria,Artemether-Lumefantrine,80/480mg,"Headache, loss of appetite"
COVID-19,Paracetamol + Vitamin C,500mg + 1000mg,"Nausea, mild diarrhea"
Gout,Allopurinol,100mg,"Rash, nausea"
Alzheimer's,Donepezil,10mg,"Nausea, diarrhea, insomnia"
Parkinson's,Levodopa,100mg,"Nausea, dizziness"
Cancer,Chemotherapy,Varies,"Hair loss, nausea, fatigue"
